language,length,count_words,average_word_length,count_ones,count_zeros,ratio_ones,ratio_zeros,frequency_11,frequency_00,entropy,valeur
"['0011000', '1', '00010', '011', '101', '0111']",23,6,3.8333333333333335,11,12,0.4782608695652174,0.5217391304347826,3,4,0.9986359641585718,0
"['101100', '101100', '01000', '00', '00011']",24,5,4.8,9,15,0.375,0.625,3,6,0.954434002924965,1
"['011111', '0000', '110', '1001', '1', '101100']",24,6,4.0,13,11,0.5416666666666666,0.4583333333333333,5,4,0.99498482818597,0
['10100'],5,1,5.0,2,3,0.4,0.6,0,1,0.9709505944546686,1
"['1000', '0', '011110', '0000', '1100101', '10001', '1111', '011', '01100', '1010']",43,10,4.3,21,22,0.4883720930232558,0.5116279069767442,8,7,0.999609836367807,0
"['01', '10', '011110', '011101', '1010011', '1001', '1001']",31,7,4.428571428571429,18,13,0.5806451612903226,0.4193548387096774,7,5,0.9811522341999132,0
"['1', '001010', '111', '1100', '010101', '0100']",24,6,4.0,12,12,0.5,0.5,2,3,1.0,0
"['1', '100000', '0010']",11,3,3.6666666666666665,3,8,0.2727272727272727,0.7272727272727273,1,3,0.8453509366224364,1
"['10', '0100', '1010000', '1010001', '1000010', '00']",29,6,4.833333333333333,9,20,0.3103448275862069,0.6896551724137931,1,8,0.8935711016541907,0
"['01100', '101000', '000', '1', '0001010', '0']",23,6,3.8333333333333335,7,16,0.3043478260869565,0.6956521739130435,1,6,0.8865408928220899,0
['00100'],5,1,5.0,1,4,0.2,0.8,0,2,0.7219280948873623,1
['0001011'],7,1,7.0,3,4,0.4285714285714285,0.5714285714285714,1,1,0.9852281360342516,1
"['1100101', '0000', '011001', '01101', '101', '1100', '1', '1', '11', '110']",36,10,3.6,20,16,0.5555555555555556,0.4444444444444444,8,5,0.9910760598382222,0
"['10010', '0100', '01', '11', '011011', '001']",22,6,3.6666666666666665,11,11,0.5,0.5,3,4,1.0,0
"['00111', '00111', '1110101', '1101']",21,4,5.25,14,7,0.6666666666666666,0.3333333333333333,5,2,0.9182958340544896,1
['0110100'],7,1,7.0,3,4,0.4285714285714285,0.5714285714285714,1,1,0.9852281360342516,1
"['1000100', '00011', '0101110', '11001', '000000', '11']",32,6,5.333333333333333,13,19,0.40625,0.59375,4,7,0.9744894033980523,1
"['0001', '11', '10010', '0101', '00000', '10']",22,6,3.6666666666666665,8,14,0.3636363636363636,0.6363636363636364,2,5,0.94566030460064,1
"['0101101', '111010', '1110001', '011', '110100', '110011', '100', '0101', '110011', '0']",49,10,4.9,28,21,0.5714285714285714,0.4285714285714285,10,5,0.9852281360342516,0
"['1101000', '1100', '0101']",15,3,5.0,7,8,0.4666666666666667,0.5333333333333333,2,2,0.9967916319816366,1
"['1100000', '1000', '10', '1001011', '0', '10']",23,6,3.8333333333333335,9,14,0.391304347826087,0.6086956521739131,2,4,0.9656361333706098,0
"['110010', '010101', '1000011', '00101', '11000', '100', '11011', '00011', '101110', '010']",51,10,5.1,25,26,0.4901960784313725,0.5098039215686274,8,9,0.9997226475394072,0
"['1', '101000', '0000', '0']",12,4,3.0,3,9,0.25,0.75,1,4,0.8112781244591328,0
['1010'],4,1,4.0,2,2,0.5,0.5,0,0,1.0,1
"['100101', '11001', '100011', '01', '01', '1000', '00', '100010']",33,8,4.125,14,19,0.4242424242424242,0.5757575757575758,4,6,0.9833761901392236,0
"['10', '1000100', '111110']",15,3,5.0,8,7,0.5333333333333333,0.4666666666666667,2,2,0.9967916319816366,1
"['1', '10', '001100', '010010', '10111', '00111', '1', '10101', '1001', '11']",37,10,3.7,21,16,0.5675675675675675,0.4324324324324324,7,5,0.9867867202680318,0
"['01', '10100', '0111', '1101101', '1', '100', '110']",25,7,3.5714285714285716,15,10,0.6,0.4,6,2,0.9709505944546686,0
"['010001', '0', '0']",8,3,2.6666666666666665,2,6,0.25,0.75,0,2,0.8112781244591328,1
"['000', '10', '1000111', '1100', '0101000', '110101']",29,6,4.833333333333333,13,16,0.4482758620689655,0.5517241379310345,3,4,0.9922666387194964,1
"['01', '11', '0110001', '00', '011001', '1']",20,6,3.3333333333333335,10,10,0.5,0.5,4,3,1.0,0
"['001100', '10', '11100', '100', '01']",18,5,3.6,8,10,0.4444444444444444,0.5555555555555556,2,4,0.9910760598382222,0
"['01100', '0010', '00', '1', '10000', '011']",20,6,3.3333333333333335,7,13,0.35,0.65,3,5,0.934068055375491,0
"['1110', '01100', '11']",11,3,3.6666666666666665,7,4,0.6363636363636364,0.3636363636363636,3,2,0.94566030460064,1
"['100010', '0011111', '10001', '11000']",23,4,5.75,11,12,0.4782608695652174,0.5217391304347826,4,4,0.9986359641585718,1
"['10101', '0', '10011']",11,3,3.6666666666666665,6,5,0.5454545454545454,0.4545454545454545,1,1,0.9940302114769564,1
"['00100', '01110', '0', '111', '1111']",18,5,3.6,11,7,0.6111111111111112,0.3888888888888889,4,3,0.964078764808229,0
"['1111011', '11100', '11', '01101', '11110', '111', '1', '010']",31,8,3.875,23,8,0.7419354838709677,0.2580645161290322,10,1,0.8238116333123173,0
"['1', '1', '000', '1001', '010100', '1', '010', '01010', '000101']",30,9,3.3333333333333335,12,18,0.4,0.6,1,6,0.9709505944546686,0
"['0', '0111', '0011101']",12,3,4.0,7,5,0.5833333333333334,0.4166666666666667,2,2,0.9798687566511528,1
"['11', '00011']",7,2,3.5,4,3,0.5714285714285714,0.4285714285714285,2,1,0.9852281360342516,1
"['11', '000', '101101', '11', '1111', '0100', '1100', '01']",27,8,3.375,16,11,0.5925925925925926,0.4074074074074074,6,3,0.975119064940866,0
"['1100000', '01100']",12,2,6.0,4,8,0.3333333333333333,0.6666666666666666,2,4,0.9182958340544896,1
"['100', '1100', '1000101']",14,3,4.666666666666667,6,8,0.4285714285714285,0.5714285714285714,1,3,0.9852281360342516,1
"['10', '00100', '1', '01101', '110', '101010', '001001', '0001', '0010']",36,9,4.0,15,21,0.4166666666666667,0.5833333333333334,2,6,0.9798687566511528,0
"['111111', '001100']",12,2,6.0,8,4,0.6666666666666666,0.3333333333333333,4,2,0.9182958340544896,1
['0'],1,1,1.0,0,1,0.0,1.0,0,0,-0.0,1
"['011', '110', '0', '1011110', '1']",15,5,3.0,10,5,0.6666666666666666,0.3333333333333333,4,1,0.9182958340544896,0
"['0110', '1', '00000', '111010']",16,4,4.0,7,9,0.4375,0.5625,2,2,0.9886994082884974,1
"['101', '1', '1001', '11', '0', '1111', '1011111', '0100', '110']",29,9,3.2222222222222223,20,9,0.6896551724137931,0.3103448275862069,7,2,0.8935711016541907,0
"['0', '1000', '11', '1101001', '011101', '101', '111', '0011110', '111', '11001']",41,10,4.1,26,15,0.6341463414634146,0.3658536585365853,10,4,0.9474351361840307,0
"['111100', '0011', '01', '10110', '0', '00', '10111']",25,7,3.5714285714285716,14,11,0.56,0.44,6,4,0.9895875212220556,0
"['000101', '00100']",11,2,5.5,3,8,0.2727272727272727,0.7272727272727273,0,3,0.8453509366224364,1
['0'],1,1,1.0,0,1,0.0,1.0,0,0,-0.0,1
"['001110', '1', '0001', '110001', '010']",20,5,4.0,9,11,0.45,0.55,2,3,0.9927744539878084,0
"['1110100', '01010', '110', '1100', '100100', '001100']",31,6,5.166666666666667,14,17,0.4516129032258064,0.5483870967741935,4,6,0.9932338197397066,1
"['11011', '001', '1101011', '1', '0100', '1001']",24,6,4.0,14,10,0.5833333333333334,0.4166666666666667,4,3,0.9798687566511528,0
"['00111', '1110011', '01111', '11011', '0011011', '1010', '000', '1001111', '1', '00000']",49,10,4.9,28,21,0.5714285714285714,0.4285714285714285,12,8,0.9852281360342516,0
"['00', '11101', '010100', '110010', '100110']",25,5,5.0,12,13,0.48,0.52,3,4,0.9988455359952018,1
"['0110', '100', '101', '001101']",16,4,4.0,8,8,0.5,0.5,2,2,1.0,1
"['1100000', '0001', '1101', '1', '1011011']",23,5,4.6,12,11,0.5217391304347826,0.4782608695652174,5,4,0.9986359641585718,1
"['10101', '1', '1011111', '0010100', '1011101']",27,5,5.4,17,10,0.6296296296296297,0.3703703703703703,4,2,0.9509560484549724,1
"['1', '1010001']",8,2,4.0,4,4,0.5,0.5,1,1,1.0,1
"['0', '0', '0000010', '0111110', '1011111']",23,5,4.6,12,11,0.5217391304347826,0.4782608695652174,4,4,0.9986359641585718,1
"['0', '111100', '0110', '11']",13,4,3.25,8,5,0.6153846153846154,0.3846153846153846,4,1,0.961236604722876,0
"['10000', '011', '100', '1011', '1010', '111010', '0101110']",32,7,4.571428571428571,17,15,0.53125,0.46875,4,4,0.9971803988942642,1
"['101110', '1011', '0110', '00', '1111010']",23,5,4.6,14,9,0.6086956521739131,0.391304347826087,5,1,0.9656361333706098,1
"['011', '001', '001010']",12,3,4.0,5,7,0.4166666666666667,0.5833333333333334,1,2,0.9798687566511528,1
"['1', '1', '0100', '11011', '000010']",17,5,3.4,8,9,0.4705882352941176,0.5294117647058824,3,3,0.9975025463691152,1
"['10', '0', '1', '00100']",9,4,2.25,3,6,0.3333333333333333,0.6666666666666666,0,3,0.9182958340544896,0
"['0101011', '100011', '010']",16,3,5.333333333333333,8,8,0.5,0.5,2,1,1.0,1
"['01011', '110', '011111', '0000']",18,4,4.5,10,8,0.5555555555555556,0.4444444444444444,4,3,0.9910760598382222,1
"['0', '0001101', '0110000', '000010']",21,4,5.25,6,15,0.2857142857142857,0.7142857142857143,2,6,0.863120568566631,1
"['00011', '11']",7,2,3.5,4,3,0.5714285714285714,0.4285714285714285,2,1,0.9852281360342516,1
"['111010', '00', '1001', '1', '011100']",19,5,3.8,10,9,0.5263157894736842,0.4736842105263157,3,3,0.9980008838722996,0
['100'],3,1,3.0,1,2,0.3333333333333333,0.6666666666666666,0,1,0.9182958340544896,1
"['110001', '0', '01011', '000111', '0001', '1011111', '1100001', '11']",38,8,4.75,21,17,0.5526315789473685,0.4473684210526316,8,6,0.9919924034538556,0
"['0', '0000110', '0']",9,3,3.0,2,7,0.2222222222222222,0.7777777777777778,1,3,0.7642045065086203,1
"['11111', '111101', '1010']",15,3,5.0,12,3,0.8,0.2,5,0,0.7219280948873623,1
"['1', '010001', '1000111']",14,3,4.666666666666667,7,7,0.5,0.5,2,2,1.0,1
"['0100', '111001', '000011', '100', '1100110', '01', '0000', '1000110', '0', '11000']",45,10,4.5,18,27,0.4,0.6,6,12,0.9709505944546686,0
"['11', '011']",5,2,2.5,4,1,0.8,0.2,2,0,0.7219280948873623,1
"['11', '10010', '01111', '10', '100', '1', '10110', '0011', '10011']",32,9,3.5555555555555554,19,13,0.59375,0.40625,7,5,0.9744894033980523,0
"['11', '010001', '101', '00111', '011']",19,5,3.8,11,8,0.5789473684210527,0.4210526315789473,4,2,0.9819407868640976,1
"['00111', '00011', '0111001', '011', '010011', '0', '000011', '0101', '1001']",41,9,4.555555555555555,20,21,0.4878048780487805,0.5121951219512195,7,7,0.9995708393473224,0
"['0', '000011', '010100', '11', '0', '01', '00101', '0001001']",30,8,3.75,11,19,0.3666666666666666,0.6333333333333333,2,7,0.9480782435939056,0
"['100100', '1100', '1100', '10001', '10', '11010', '1001101', '100110']",39,8,4.875,19,20,0.4871794871794871,0.5128205128205128,7,7,0.999525689293649,0
['001001'],6,1,6.0,2,4,0.3333333333333333,0.6666666666666666,0,2,0.9182958340544896,1
"['1110111', '10111', '0101010', '101', '1', '1', '000101']",30,7,4.285714285714286,19,11,0.6333333333333333,0.3666666666666666,5,1,0.9480782435939056,0
['101'],3,1,3.0,2,1,0.6666666666666666,0.3333333333333333,0,0,0.9182958340544896,1
['1010000'],7,1,7.0,2,5,0.2857142857142857,0.7142857142857143,0,2,0.863120568566631,1
"['001001', '100111', '001100', '111011', '0011011']",31,5,6.2,17,14,0.5483870967741935,0.4516129032258064,7,6,0.9932338197397066,1
"['10', '111', '01', '100000', '1011100']",20,5,4.0,10,10,0.5,0.5,3,3,1.0,1
"['00', '101', '1100', '1', '1100111', '1', '1101', '1100', '00101']",31,9,3.4444444444444446,18,13,0.5806451612903226,0.4193548387096774,6,5,0.9811522341999132,0
"['110', '01', '10111', '1', '00', '001', '111011', '10', '1110', '1101110']",35,10,3.5,23,12,0.6571428571428571,0.3428571428571428,10,3,0.927526588431676,0
"['1100101', '1001']",11,2,5.5,6,5,0.5454545454545454,0.4545454545454545,2,2,0.9940302114769564,1
"['01', '000']",5,2,2.5,1,4,0.2,0.8,0,1,0.7219280948873623,1
"['0111010', '0110111', '010', '101', '110']",23,5,4.6,14,9,0.6086956521739131,0.391304347826087,4,1,0.9656361333706098,1
"['1', '1001']",5,2,2.5,3,2,0.6,0.4,1,1,0.9709505944546686,1
['00'],2,1,2.0,0,2,0.0,1.0,0,1,-0.0,1
"['01011', '0111', '01', '11101', '10110', '11', '110', '10111', '101']",34,9,3.7777777777777777,24,10,0.7058823529411765,0.2941176470588235,10,0,0.8739810481273578,0
"['110', '1', '000010', '100101', '110']",19,5,3.8,9,10,0.4736842105263157,0.5263157894736842,2,3,0.9980008838722996,1
"['1', '0100', '0', '1100110']",13,4,3.25,6,7,0.4615384615384615,0.5384615384615384,2,2,0.9957274520849256,0
"['0', '110001', '0000110', '01', '10', '1001', '0110111', '0110', '1']",34,9,3.7777777777777777,17,17,0.5,0.5,6,5,1.0,0
"['00111', '1000', '11101', '1', '1000', '0', '00111', '11']",27,8,3.375,15,12,0.5555555555555556,0.4444444444444444,6,5,0.9910760598382222,0
"['100', '0', '111', '011011', '10011', '000', '001', '000', '0']",28,9,3.111111111111111,12,16,0.4285714285714285,0.5714285714285714,4,6,0.9852281360342516,0
"['1000110', '100101', '0', '101', '010100', '1100001', '101', '11', '01010']",40,9,4.444444444444445,19,21,0.475,0.525,4,5,0.99819587904281,0
"['01010', '1011', '1011', '00000', '0100010', '001110', '11100', '10', '1', '00']",41,10,4.1,18,23,0.4390243902439024,0.5609756097560976,4,7,0.9892452969285004,0
"['000100', '001101', '01010', '10000', '0101', '0111', '0']",31,7,4.428571428571429,12,19,0.3870967741935484,0.6129032258064516,2,5,0.9629004147713268,0
"['0110', '0001110', '010000', '10001', '00', '1', '1', '101']",29,8,3.625,12,17,0.4137931034482758,0.5862068965517241,3,7,0.9784493292686188,0
['001'],3,1,3.0,1,2,0.3333333333333333,0.6666666666666666,0,1,0.9182958340544896,1
"['00', '1', '1011011', '011111', '00', '011000']",24,6,4.0,13,11,0.5416666666666666,0.4583333333333333,6,3,0.99498482818597,1
"['01', '01', '0', '10', '1101011', '01']",16,6,2.6666666666666665,9,7,0.5625,0.4375,2,0,0.9886994082884974,0
['10'],2,1,2.0,1,1,0.5,0.5,0,0,1.0,1
"['010010', '11', '110', '000101', '01000', '0', '010000']",29,7,4.142857142857143,10,19,0.3448275862068966,0.6551724137931034,2,7,0.9293636260137188,0
"['1', '000110', '100111', '0011', '01', '110011', '1011111', '0101', '10', '00110']",43,10,4.3,25,18,0.5813953488372093,0.4186046511627907,9,5,0.9807983646944296,0
"['00', '0000', '1110101', '10010', '1101', '111111', '0101']",32,7,4.571428571428571,18,14,0.5625,0.4375,6,4,0.9886994082884974,0
"['01', '1110111', '1000111']",16,3,5.333333333333333,11,5,0.6875,0.3125,5,1,0.8960382325345574,1
"['0110011', '0101', '0111']",15,3,5.0,9,6,0.6,0.4,3,1,0.9709505944546686,1
"['10001', '1110001', '0111000', '00', '1110000', '11101', '1']",34,7,4.857142857142857,17,17,0.5,0.5,6,6,1.0,0
"['100', '0001011', '11', '011', '10', '11101', '00110', '1010']",31,8,3.875,17,14,0.5483870967741935,0.4516129032258064,5,3,0.9932338197397066,0
"['100101', '000', '011101', '0110', '110', '110101', '00']",30,7,4.285714285714286,15,15,0.5,0.5,4,4,1.0,0
['011'],3,1,3.0,2,1,0.6666666666666666,0.3333333333333333,1,0,0.9182958340544896,1
"['10', '1', '101101', '001', '101011']",18,5,3.6,11,7,0.6111111111111112,0.3888888888888889,4,1,0.964078764808229,0
"['0', '111100', '1011', '1110', '0', '10']",18,6,3.0,11,7,0.6111111111111112,0.3888888888888889,4,2,0.964078764808229,0
"['1100010', '01110', '1', '11001', '0110001']",25,5,5.0,13,12,0.52,0.48,4,4,0.9988455359952018,1
"['10010', '101', '0001111', '10', '110000']",23,5,4.6,11,12,0.4782608695652174,0.5217391304347826,3,4,0.9986359641585718,1
"['0001', '111', '0001011', '11', '101', '0011']",23,6,3.8333333333333335,13,10,0.5652173913043478,0.4347826086956521,5,3,0.9876925088958034,0
"['111', '0000', '01111', '0001111', '0', '1101', '00', '0', '100', '0001']",34,10,3.4,16,18,0.4705882352941176,0.5294117647058824,6,6,0.9975025463691152,0
"['11', '0', '1101', '11']",9,4,2.25,7,2,0.7777777777777778,0.2222222222222222,3,0,0.7642045065086203,1
['00'],2,1,2.0,0,2,0.0,1.0,0,1,-0.0,1
"['10', '01000']",7,2,3.5,2,5,0.2857142857142857,0.7142857142857143,0,2,0.863120568566631,1
"['001110', '1', '0011110', '111', '00', '11', '1110101', '10000', '0000', '011110']",43,10,4.3,23,20,0.5348837209302325,0.4651162790697674,9,7,0.996485989886783,0
"['00001', '0101', '01011', '0', '00', '1', '1100']",22,7,3.142857142857143,9,13,0.4090909090909091,0.5909090909090909,2,4,0.9760206482366148,0
"['10100', '001', '0110001', '110001', '00', '11', '110101', '001111']",37,8,4.625,19,18,0.5135135135135135,0.4864864864864865,6,6,0.9994730201859836,0
"['1', '1101100']",8,2,4.0,5,3,0.625,0.375,2,1,0.954434002924965,1
"['1010011', '001010', '0101100', '1010', '111010']",30,5,6.0,15,15,0.5,0.5,3,4,1.0,1
"['0001110', '010011', '1110111', '0000010']",27,4,6.75,13,14,0.4814814814814814,0.5185185185185185,4,5,0.9990102708804812,1
"['10011', '010101', '1111110', '100']",21,4,5.25,13,8,0.6190476190476191,0.3809523809523809,4,2,0.9587118829771318,1
"['01', '011', '110011']",11,3,3.6666666666666665,7,4,0.6363636363636364,0.3636363636363636,3,1,0.94566030460064,1
['0100010'],7,1,7.0,2,5,0.2857142857142857,0.7142857142857143,0,1,0.863120568566631,1
"['01111', '1011', '111010', '1011101', '0']",23,5,4.6,16,7,0.6956521739130435,0.3043478260869565,5,0,0.8865408928220899,0
"['010', '1', '101', '100000', '1', '1', '110']",18,7,2.5714285714285716,9,9,0.5,0.5,4,2,1.0,0
"['000', '0011', '100111', '0001100', '0', '1', '001100', '0001011']",35,8,4.375,14,21,0.4,0.6,5,8,0.9709505944546686,0
"['0101010', '0011101', '1100', '0110010', '10', '011001', '0100', '0000111', '1110', '0']",49,10,4.9,23,26,0.4693877551020408,0.5306122448979592,7,9,0.9972943816462349,0
"['10', '1100', '1010100', '1111', '0010110', '1111000', '111', '00111', '1', '00010']",45,10,4.5,25,20,0.5555555555555556,0.4444444444444444,9,6,0.9910760598382222,0
"['1011', '1110101', '1011100']",18,3,6.0,12,6,0.6666666666666666,0.3333333333333333,4,1,0.9182958340544896,1
['11'],2,1,2.0,2,0,1.0,0.0,1,0,-0.0,1
"['0010010', '111000', '001010', '0', '11', '11', '000', '00', '1110001']",36,9,4.0,15,21,0.4166666666666667,0.5833333333333334,4,8,0.9798687566511528,0
"['0', '10']",3,2,1.5,1,2,0.3333333333333333,0.6666666666666666,0,0,0.9182958340544896,1
['11'],2,1,2.0,2,0,1.0,0.0,1,0,-0.0,1
"['1', '011000', '100001', '001010', '010', '0', '11']",25,7,3.5714285714285716,10,15,0.4,0.6,2,6,0.9709505944546686,0
"['0010010', '110', '0', '01', '10110']",18,5,3.6,8,10,0.4444444444444444,0.5555555555555556,3,3,0.9910760598382222,0
"['011', '10']",5,2,2.5,3,2,0.6,0.4,1,0,0.9709505944546686,1
"['001', '11010', '010', '1', '01000', '1110', '0101', '000']",28,8,3.5,12,16,0.4285714285714285,0.5714285714285714,2,5,0.9852281360342516,0
"['0010111', '00001', '11011', '0', '0100']",22,5,4.4,10,12,0.4545454545454545,0.5454545454545454,3,5,0.9940302114769564,0
"['1000', '011111']",10,2,5.0,6,4,0.6,0.4,2,2,0.9709505944546686,1
"['1001', '0111001', '1101011', '001110', '0010', '010011']",34,6,5.666666666666667,18,16,0.5294117647058824,0.4705882352941176,5,6,0.9975025463691152,1
"['00', '0101010', '11']",11,3,3.6666666666666665,5,6,0.4545454545454545,0.5454545454545454,1,1,0.9940302114769564,1
"['1', '1', '0010110', '110000', '1001010', '0101']",26,6,4.333333333333333,12,14,0.4615384615384615,0.5384615384615384,3,5,0.9957274520849256,1
"['010100', '001101', '0', '0010010', '110100', '0100100', '100110']",39,7,5.571428571428571,15,24,0.3846153846153846,0.6153846153846154,3,8,0.961236604722876,0
"['10011', '0011', '11100', '011010', '0010', '1', '11', '1001', '1011110', '0']",39,10,3.9,22,17,0.5641025641025641,0.4358974358974359,9,6,0.98811083652183,0
"['0111', '11110', '110']",12,3,4.0,9,3,0.75,0.25,4,0,0.8112781244591328,1
"['1010', '10111', '0001101', '00']",18,4,4.5,9,9,0.5,0.5,2,2,1.0,1
"['10', '100101', '11110', '00111']",18,4,4.5,11,7,0.6111111111111112,0.3888888888888889,3,2,0.964078764808229,1
"['0010011', '0111', '100', '1001001', '0000', '000', '101', '001', '10']",36,9,4.0,14,22,0.3888888888888889,0.6111111111111112,4,9,0.964078764808229,0
"['01', '0111', '0010000', '0100', '1111101', '100', '11011', '0010', '000111']",42,9,4.666666666666667,21,21,0.5,0.5,7,8,1.0,0
"['010', '1', '1000111', '1011', '110']",18,5,3.6,11,7,0.6111111111111112,0.3888888888888889,5,1,0.964078764808229,0
"['0', '0', '010000', '1', '000', '1000', '1001011', '00']",25,8,3.125,7,18,0.28,0.72,1,7,0.8554508105601306,0
"['00', '111', '00010', '1', '11010', '011', '101001', '1']",26,8,3.25,14,12,0.5384615384615384,0.4615384615384615,4,4,0.9957274520849256,0
"['10', '00011', '001010', '0101', '110111', '001', '1110']",30,7,4.285714285714286,16,14,0.5333333333333333,0.4666666666666667,5,5,0.9967916319816366,1
"['0110', '1111001']",11,2,5.5,7,4,0.6363636363636364,0.3636363636363636,3,1,0.94566030460064,1
"['001000', '1011000', '001', '111111']",22,4,5.5,11,11,0.5,0.5,4,4,1.0,1
['000'],3,1,3.0,0,3,0.0,1.0,0,1,-0.0,1
"['0', '111', '000', '0010', '011100']",17,5,3.4,7,10,0.4117647058823529,0.5882352941176471,2,4,0.9774178175281716,0
"['111', '001111', '000']",12,3,4.0,7,5,0.5833333333333334,0.4166666666666667,3,2,0.9798687566511528,1
"['1', '0101', '011000', '0101', '11001', '0111', '01', '000', '0001', '1011000']",40,10,4.0,18,22,0.45,0.55,5,7,0.9927744539878084,0
"['110010', '1100000', '0100001', '0', '0', '1001111']",29,6,4.833333333333333,12,17,0.4137931034482758,0.5862068965517241,4,8,0.9784493292686188,1
"['101110', '0010', '00001', '00000', '001111', '011', '10']",31,7,4.428571428571429,13,18,0.4193548387096774,0.5806451612903226,4,6,0.9811522341999132,1
"['1110011', '0011101', '11', '01', '111', '011', '0111', '1111011']",35,8,4.375,26,9,0.7428571428571429,0.2571428571428571,11,2,0.8224042259549891,0
"['1110', '0010', '1', '1', '00101']",15,5,3.0,8,7,0.5333333333333333,0.4666666666666667,2,2,0.9967916319816366,0
"['110', '1', '10', '01011', '1001011']",18,5,3.6,11,7,0.6111111111111112,0.3888888888888889,4,2,0.964078764808229,0
"['0010101', '1011000', '01']",16,3,5.333333333333333,7,9,0.4375,0.5625,2,3,0.9886994082884974,1
"['100', '001110', '10010', '001000', '01000', '111', '1']",29,7,4.142857142857143,12,17,0.4137931034482758,0.5862068965517241,3,7,0.9784493292686188,0
"['1001', '0', '01101', '10110', '110']",18,5,3.6,10,8,0.5555555555555556,0.4444444444444444,4,2,0.9910760598382222,0
"['0111', '01010', '000001', '011']",18,4,4.5,8,10,0.4444444444444444,0.5555555555555556,2,3,0.9910760598382222,1
"['1', '0101100', '0110110', '0110000', '0110', '1', '11', '010000', '1000100']",42,9,4.666666666666667,18,24,0.4285714285714285,0.5714285714285714,6,8,0.9852281360342516,0
"['1', '1101000', '101110', '0010011', '011101', '0000', '0100', '00', '1']",38,9,4.222222222222222,17,21,0.4473684210526316,0.5526315789473685,4,7,0.9919924034538556,0
"['00', '110111', '00', '11', '01', '000100', '0', '01100']",26,8,3.25,11,15,0.4230769230769231,0.5769230769230769,4,6,0.9828586897127056,0
"['0100101', '01100']",12,2,6.0,5,7,0.4166666666666667,0.5833333333333334,1,2,0.9798687566511528,1
"['1001111', '1', '010111', '100', '0111']",21,5,4.2,14,7,0.6666666666666666,0.3333333333333333,5,2,0.9182958340544896,0
"['01101', '1100', '1100100', '10', '11111', '00100', '011', '0010011', '1111']",42,9,4.666666666666667,24,18,0.5714285714285714,0.4285714285714285,9,7,0.9852281360342516,0
"['0', '1001101', '00000', '0000001', '1000', '100100', '1', '10']",33,8,4.125,10,23,0.303030303030303,0.696969696969697,3,9,0.8849636363831528,0
"['11', '10', '1110', '11']",10,4,2.5,8,2,0.8,0.2,3,0,0.7219280948873623,0
"['00', '1', '0000011', '001', '11', '10111', '10001', '101', '1101', '110110']",38,10,3.8,21,17,0.5526315789473685,0.4473684210526316,9,5,0.9919924034538556,0
"['011111', '1011', '0000110', '10', '11010']",24,5,4.8,14,10,0.5833333333333334,0.4166666666666667,6,2,0.9798687566511528,1
"['0010010', '010', '011010', '1001', '01111', '1', '010', '1']",30,8,3.75,15,15,0.5,0.5,3,5,1.0,0
"['111010', '01', '11', '1', '1', '1100101']",19,6,3.1666666666666665,13,6,0.6842105263157895,0.3157894736842105,4,2,0.8997437586982626,0
"['11', '11001', '1', '11', '010001', '1000111', '1', '0000011', '10']",33,9,3.6666666666666665,18,15,0.5454545454545454,0.4545454545454545,8,5,0.9940302114769564,0
"['0001', '0111', '01', '0111100', '0']",18,5,3.6,9,9,0.5,0.5,3,2,1.0,0
"['000001', '01010', '000', '001', '11101']",22,5,4.4,8,14,0.3636363636363636,0.6363636363636364,2,5,0.94566030460064,0
"['1010001', '0101', '111', '11010', '10']",21,5,4.2,12,9,0.5714285714285714,0.4285714285714285,3,1,0.9852281360342516,1
"['0', '1000000']",8,2,4.0,1,7,0.125,0.875,0,3,0.5435644431995964,1
"['100000', '1', '10011', '000', '10111', '10', '1']",23,7,3.2857142857142856,11,12,0.4782608695652174,0.5217391304347826,4,4,0.9986359641585718,0
"['0', '1101', '0101110', '011010', '000', '101', '1', '0011']",29,8,3.625,15,14,0.5172413793103449,0.4827586206896552,5,4,0.9991421039919088,0
"['0110', '0010', '1000110', '0', '011']",19,5,3.8,8,11,0.4210526315789473,0.5789473684210527,3,3,0.9819407868640976,0
"['011', '11', '101101', '111']",14,4,3.5,11,3,0.7857142857142857,0.2142857142857142,5,0,0.74959525725948,0
"['1001', '1101100', '110100', '0010', '1000110', '11111', '11', '1']",36,8,4.5,21,15,0.5833333333333334,0.4166666666666667,8,5,0.9798687566511528,0
"['00', '1100111', '1101101', '11110', '000010']",27,5,5.4,15,12,0.5555555555555556,0.4444444444444444,6,4,0.9910760598382222,1
"['010010', '100', '0011', '0110101', '0101110', '011', '1010']",34,7,4.857142857142857,17,17,0.5,0.5,4,4,1.0,1
"['110000', '0', '11000', '0101', '00111']",21,5,4.2,9,12,0.4285714285714285,0.5714285714285714,3,5,0.9852281360342516,0
"['01', '1011000', '1011100', '1000101', '00', '100', '0', '10101']",34,8,4.25,15,19,0.4411764705882353,0.5588235294117647,3,5,0.9899927915575186,0
"['0010110', '100', '10', '1000000', '1', '01000', '0', '01101']",31,8,3.875,11,20,0.3548387096774194,0.6451612903225806,2,7,0.9383153522334068,0
"['10100', '0010']",9,2,4.5,3,6,0.3333333333333333,0.6666666666666666,0,2,0.9182958340544896,1
"['11', '1111', '1100', '01001', '0011', '01011', '000', '110111', '0110']",37,9,4.111111111111111,22,15,0.5945945945945946,0.4054054054054054,9,4,0.974024864435752,0
